time,open,high,low,close,tick_volume,spread,real_volume,pip_value,point
2022-07-05 00:00:00,1.20996,1.21015,1.20995,1.20997,30,22,0,0.0001,1e-05
2022-07-05 00:15:00,1.20997,1.21001,1.20961,1.20993,165,36,0,0.0001,1e-05
2022-07-05 00:30:00,1.20993,1.21003,1.20988,1.21003,2231,46,0,0.0001,1e-05
2022-07-05 00:45:00,1.20995,1.21008,1.20976,1.20979,1644,34,0,0.0001,1e-05
2022-07-05 01:00:00,1.20976,1.21091,1.20976,1.21066,268,3,0,0.0001,1e-05
2022-07-05 01:15:00,1.21066,1.21109,1.2103,1.21088,550,0,0,0.0001,1e-05
2022-07-05 01:30:00,1.21087,1.21093,1.21034,1.21061,588,0,0,0.0001,1e-05
2022-07-05 01:45:00,1.21061,1.2109,1.21048,1.21087,696,0,0,0.0001,1e-05
2022-07-05 02:00:00,1.21088,1.21168,1.21072,1.2116,1254,0,0,0.0001,1e-05
2022-07-05 02:15:00,1.2116,1.21189,1.21137,1.21144,1014,0,0,0.0001,1e-05
2022-07-05 02:30:00,1.21145,1.21172,1.21142,1.21148,798,1,0,0.0001,1e-05
2022-07-05 02:45:00,1.21147,1.21174,1.2112,1.21132,998,1,0,0.0001,1e-05
2022-07-05 03:00:00,1.21132,1.21187,1.21083,1.21148,1229,0,0,0.0001,1e-05
2022-07-05 03:15:00,1.21147,1.21147,1.21022,1.21059,1036,0,0,0.0001,1e-05
2022-07-05 03:30:00,1.21059,1.21129,1.21039,1.2112,1090,0,0,0.0001,1e-05
2022-07-05 03:45:00,1.2111399999999999,1.21163,1.21062,1.21112,1350,0,0,0.0001,1e-05
2022-07-05 04:00:00,1.21108,1.21163,1.21044,1.21044,1098,0,0,0.0001,1e-05
2022-07-05 04:15:00,1.21044,1.21087,1.2098,1.21084,1235,0,0,0.0001,1e-05
2022-07-05 04:30:00,1.21083,1.2119900000000001,1.21069,1.2119,1502,0,0,0.0001,1e-05
2022-07-05 04:45:00,1.21191,1.2122600000000001,1.21151,1.21182,976,0,0,0.0001,1e-05
